Code,Name,HSN,GST Id,gst in per,Purchase Price,Price Margin,Retail Price,Category Code
240,,,13,0.05,,0,-0.05,
241,,,13,0.05,,0,-0.05,
242,,,13,0.05,,0,-0.05,
243,,,13,0.05,,0,-0.05,
244,,,13,0.05,,0,-0.05,
245,,,13,0.05,,0,-0.05,
246,,,13,0.05,,0,-0.05,
247,,,13,0.05,,0,-0.05,
248,,,13,0.05,,0,-0.05,
249,,,13,0.05,,0,-0.05,
250,,,13,0.05,,0,-0.05,
251,,,13,0.05,,0,-0.05,
252,,,13,0.05,,0,-0.05,
253,,,13,0.05,,0,-0.05,
254,,,13,0.05,,0,-0.05,
255,,,13,0.05,,0,-0.05,
256,,,13,0.05,,0,-0.05,
257,,,13,0.05,,0,-0.05,
258,,,13,0.05,,0,-0.05,
259,,,13,0.05,,0,-0.05,
260,,,13,0.05,,0,-0.05,
261,,,13,0.05,,0,-0.05,
262,,,13,0.05,,0,-0.05,
263,,,13,0.05,,0,-0.05,
264,,,13,0.05,,0,-0.05,
265,,,13,0.05,,0,-0.05,
266,,,13,0.05,,0,-0.05,
267,,,13,0.05,,0,-0.05,
268,,,13,0.05,,0,-0.05,
269,,,13,0.05,,0,-0.05,
270,,,13,0.05,,0,-0.05,
271,,,13,0.05,,0,-0.05,
272,,,13,0.05,,0,-0.05,
273,,,13,0.05,,0,-0.05,
274,,,13,0.05,,0,-0.05,
275,,,13,0.05,,0,-0.05,
276,,,13,0.05,,0,-0.05,
277,,,13,0.05,,0,-0.05,
278,,,13,0.05,,0,-0.05,
279,,,13,0.05,,0,-0.05,
280,,,13,0.05,,0,-0.05,
281,,,13,0.05,,0,-0.05,
282,,,13,0.05,,0,-0.05,
283,,,13,0.05,,0,-0.05,
284,,,13,0.05,,0,-0.05,
285,,,13,0.05,,0,-0.05,
286,,,13,0.05,,0,-0.05,
287,,,13,0.05,,0,-0.05,
288,,,13,0.05,,0,-0.05,
289,,,13,0.05,,0,-0.05,
290,,,13,0.05,,0,-0.05,
291,,,13,0.05,,0,-0.05,
292,,,13,0.05,,0,-0.05,
293,,,13,0.05,,0,-0.05,
294,,,13,0.05,,0,-0.05,
295,,,13,0.05,,0,-0.05,
296,,,13,0.05,,0,-0.05,
297,,,13,0.05,,0,-0.05,
298,,,13,0.05,,0,-0.05,
,,,13,0.05,,0,-0.05,
,,,13,0.05,,0,-0.05,
