Code,Name,HSN,GST Id,Purchase Price,Price Margin,Retail Price,Category Code
556,CLUTCH LIVER fz/fazer KQ,123456,0,54,0,39,YAMAHA
941,HL HOLDER splendor RX TYPE SWISS,123456,0,51,0,38,HERO HONDA
951,INDICATOR BULB YELLOW BIG,123456,0,16,0,13,COMMEN
935,HL BULB rx HALOGEN OSRAM,123456,0,65,0,45,YAMAHA
362,PIN & BUSH chedak,123456,0,75,0,60,BAJAJ
966,HL ASSY rx MINDA,123456,0,396,0,301,YAMAHA
768,AIR FILTER crux/libero ryde,123456,0,65,0,39,YAMAHA
495,TIMING CHAIN crux/libero ryde,123456,0,120,0,72,YAMAHA
832,BELT kinetic honda BANDO,123456,0,255,0,195,HONDA
467,CLUTCH SHOU kinetic honda ASK,123456,0,500,0,285,HONDA
505,CLUTCH FACE victor/starcity mk,123456,0,161,0,112,TVS
502,DISC PAD aviator ASK,123456,0,160,0,84,HONDA
433,BREAK YOKE unicorn/cbz force,123456,0,93,0,62,HONDA
436,CLUTCH YOKE (unicorn/cbz),123456,0,93,0,62,HONDA
391,AIR FILTER activa PAPER O/M KM,123456,0,115,0,81,HONDA
2740,BREAK SHOU (MAHAJI) SMALL hh,123456,0,80,0,65,HERO HONDA
1120,CLUTCH PACKING crux/libero DONEX,123456,0,22,0,15,YAMAHA
1101,HALF PACKING starcity DONEX,123456,0,37,0,26,TVS
1103,HALF PACKING victor DONEX,123456,0,37,0,26,TVS
1104,HALF PACKING super splendor/glamour SK,123456,0,36,0,24,HERO HONDA
1105,HALF PACKING pulsar150 SK,123456,0,46,0,26,BAJAJ
1586,HALF PACKING discover150 SK,123456,0,43,0,24,BAJAJ
1096,HALF PACKING passion pro/cd delux SK,123456,0,68,0,45,HERO HONDA
1092,HALF PACKING rx100 SK,123456,0,42,0,34,YAMAHA
837,SM CABLE splendor O/M REMSON,123456,0,83,0,58,CABLES
643,CONE SET passion pro/glamour zodix,123456,0,280,0,189,HERO HONDA
648,CONE SET pulsar/discover zodix,123456,0,220,0,154,BAJAJ
1095,HALF PACKING shine SK,123456,0,34,0,24,HONDA
1094,HALF PACKING unicorn SK,123456,0,46,0,27,HONDA
437,CLUTCH YOKE super splendor/glamour KQ,123456,0,71,0,57,HERO HONDA
932,HANDLE WEIGHT unicorn VENDER,123456,0,30,0,20,HONDA
425,BREAK YOKE glamour/sup splendor KQ,123456,0,44,0,33,HERO HONDA
820,TANK CAP rx MINDA,123456,0,274,0,200,SPARK MINDA LOCKS
665,SIDE STAND rx ZODIX,123456,0,120,0,84,YAMAHA
883,TANK COVER starcity LETHER IAD,123456,0,250,0,130,TVS
763,AIR FILTER splendor PIVO,123456,0,60,0,39,HERO HONDA
666,SIDE STAND discover ZODIX,123456,0,114,0,79,BAJAJ
764,AIR FILTER discover150 KM,123456,0,65,0,36,BAJAJ
264,FOOT REST RUBBER crux/libero SEAS,123456,0,70,0,49,BAJAJ
1153,LADIES HANDLE glamour JOTHI,123456,0,86,0,60,HERO HONDA
212,CHOCK CABLE victor SUPRAJIT,123456,0,92,0,58,TVS
668,SIDE STAND victor ZODIX,123456,0,98,0,69,TVS
1152,LADIES HANDLE splendor JYOTHI,123456,0,63,0,45,HERO HONDA
2796,GRIP COVER D4U,123456,0,30,0,18,COMMEN
615,RR UNIT activa2000/caliber/pulsar150/dio O/M swiss,123456,0,205,0,150,HONDA
114,BRAKE SWITCH SPRING,123456,0,5,0,2,CABLES
1539,PETROL TUB discover OE,123456,0,14,0,12,BAJAJ
585,FIRST GRIP pulsar STEELBIRD,123456,0,65,0,50,BAJAJ
1098,HALF PACKING activa N/M SK,123456,0,34,0,24,HONDA
308,INDICATOR libero swiss,123456,0,125,0,107,YAMAHA
135,CLUTCH CABLE libero SUPRAJIT,123456,0,128,0,84,YAMAHA
683,KICKER LIVER glamour/super splendor,123456,0,350,0,245,HERO HONDA
667,SIDE STAND pulsar dtsi ba,123456,0,108,0,76,BAJAJ
2817,VARIOATOR BUSH kinetic honda,123456,0,70,0,56,HONDA
592,FORK OIL SEAL aviator ryde,123456,0,45,0,27,HONDA
528,BEARING 6202Z skf,123456,0,119,0,90,COMMEN
531,BEARING 6302Z SKF,123456,0,206,0,155,COMMEN
1086,FULL PACKING KIT activa N/M TA,123456,0,119,0,72,HONDA
113,SM CABLE wego O/M AVS,123456,0,96,0,68,CABLES
584,FIRST GRIP victor PIVO,123456,0,51,0,34,TVS
581,FIRST GRIP starcity other,123456,0,58,0,40,TVS
705,ACC MOUNTING victor ZODIX,123456,0,33,0,24,TVS
353,LOCK SET passio plus MINDA,123456,0,408,0,300,SPARK MINDA LOCKS
358,BENDEX activa VHPL,123456,0,648,0,458,HONDA
188,ACC CABLE star N/M ENGI,123456,0,132,0,86,CABLES
236,BREAK CABLE chedak REAR OUTER narbada,123456,0,48,0,33,CABLES
408,CHOCK CABLE activa O/M AVS,123456,0,117,0,82,CABLES
398,KICKER MILLING pulsar iad,123456,0,196,0,117,BAJAJ
724,TYRE 90-100-10 (activa) TUBE LESS GABRIEL,123456,0,1100,0,802,TYRE & TUBE
964,HL ASSY shine FIEM,123456,0,567,0,409,HONDA
889,HALF AXIL splendor/passion VENDER,123456,0,45,0,30,HERO HONDA
710,PETROL STAINER kinetic honda ar,123456,0,177,0,144,HONDA
840,MUDGUARD passion+ ARROW,123456,0,370,0,251,HERO HONDA
390,AIR FILTER aviator HRK,123456,0,210,0,113,HONDA
112,SM CABLE starcity A/W LAREX,123456,0,99,0,70,CABLES
844,VISOR splendor pro BLACK BLUE ARROW,123456,0,300,0,210,HERO HONDA
847,COVER HANDLE kinetic honda,123456,0,160,0,110,HONDA
795,CHAIN COVER RUBBER hh pivo,123456,0,2.7,0,2,HERO HONDA
364,GEAR LIVER star city ZODIX,123456,0,144,0,101,HONDA
1129,CLUTCH PACKING discover150/100 DONEX,123456,0,22.5,0,16,BAJAJ
690,CENTER STAND splendor BA,123456,0,370,0,240,HERO HONDA
179,ACC CABLE apache rtr160 larex,123456,0,121,0,85,CABLES
161,TAIL PANNEL cd dlx O/M BLACK,123456,0,292,0,200,ARROW FIBER
1017,MIRROR fz RIGHT FIEM,123456,0,107,0,81,YAMAHA
406,CLUTCH CABLE discover100/platina125 LAREX,123456,0,128,0,99,CABLES
317,CHAIN SPROCKET pulsar180 UG4 ROLON,123456,0,1276,0,1046,BAJAJ
765,AIR FILTER pulsar 150 PIVO,123456,0,42,0,28,BAJAJ
940,HL HOLDER passion+ SWISS,123456,0,67,0,54,HERO HONDA
548,BREAK LIVER activa N/M FORCE,123456,0,48,0,34,HONDA
550,CLUTCH LIVER activa N/M force,123456,0,37,0,30,HONDA
304,INDICATOR fz SWISS,123456,0,136,0,99,YAMAHA
772,FLUG CAP activa swiss/VERROC,123456,0,70,0,60,HONDA
305,INDICATOR r15/szr MINDA,123456,0,137,0,97,YAMAHA
558,CLUTCH LIVER discover N/M FORCE,123456,0,61,0,42,BAJAJ
559,BREAK LIVER discover N/M iad,123456,0,76,0,46,BAJAJ
858,SEAT COVER discover125ST,123456,0,200,0,140,BAJAJ
760,ORING KIT hh STEELBIRD,123456,0,35,0,27,HERO HONDA
852,SEAT COVER aviator CUSSION,123456,0,220,0,160,HONDA
360,KICKER RACHET activa O/M ZODIX,123456,0,170,0,120,HONDA
869,SEAT COVER dio CUSSION,123456,0,220,0,170,HONDA
470,NUMBER PLATE FR ct100/platina/discover/pulsar SEA,123456,0,32,0,23,BAJAJ
477,NUMBER PLATE activa O/M REAR,123456,0,57,0,41,HONDA
1150,INDICATOR GLASS activa O/M FRONT,123456,0,96,0,74,HONDA
769,AIR FILTER ct100 46,123456,0,46,0,32,BAJAJ
766,AIR FILTER pulsar180/220 PIVO,123456,0,60,0,44,BAJAJ
842,MUDGUARD libero ARROW,123456,0,480,0,312,HONDA
376,SELF SWITCH activa N/M MINDA,123456,0,58,0,42,HONDA
727,KICKER SHAFT activa O/M zodix,123456,0,212,0,148,HONDA
728,KICKER SHAFT activa N/M/aviator zodix,123456,0,216,0,151,HONDA
701,CARBON BRUSH unicorn SPARTA,123456,0,70,0,52,HONDA
439,BREAK YOKE activa REAR O/M KQ,123456,0,97,0,69,HONDA
442,BREAK YOKE activa O/M FRONT iad,123456,0,125,0,82,HONDA
253,FOOT REST activa N/M PIVO,123456,0,169,0,110,HONDA
1088,FULL PACKING KIT discover150 SK,123456,0,76,0,54,BAJAJ
